review,note
sup séjour recommand hôtel l'hôtel excentr centr d'intérêt tourist station métro proch pratiqu l'entretien chambr sup qualit liter petit-déjeun copieux vari personnel affût complet rapid qu'il manqu quelqu chos,1.0
halt sympath découvr marseil quelqu jour idéal séjour jour petit déjeun pet couret prendr oreil insuffis pas assez grand,1.0
exceptionnel accueil propr bien plac rien parf,1.0
exceptionnel personnel aimabl machin caf pann,1.0
exceptionnel,1.0
agréabl,1.0
exceptionnel rapport qualité/prix établ propr symp pet jardin arrier proch tout commod pas métro chambr proch ascenseur bien agenc pet,1.0
bien,1.0
refair accueil qualit chambr propret pet déjeun bref excellent weekend rien,1.0
superb,1.0
exceptionnel,1.0
exceptionnel liter emplac chaud chambr,1.0
séjour court cosy accueil chaleur pet déjeun simpl excellent pain viennoiser frais situat géograph central parf pet gabar voir cour euphem fenêtr don cour entier ferm carr fac fenêtr d'un chambr claustrophob s'absten,1.0
bien l'emplac bien situ sall bain pas grand douch coul mal salon pris march pas ascenseur peur pet port 4em étag s'ouvr pas,1.0
exceptionnel sup bien plac fac gar lyon calm propr,1.0
bien,1.0
bien confort accueil station,1.0
sinon emplac sup,1.0
exceptionnel parf hôt charm prennent soin séjour vrai agréabl merc l'accueil chambr spacieux confort pet déjeun complet copieux plac parking sécuris réserv centr cann accessibl pied env 13km quarti calm rien,1.0
bien proxim plag propret alentour,1.0
bien parking c'est cher situat pas villet l'accueil particuli agréabl sall bain vieil baignoir remplac douch,1.0
agreabl,1.0
bien croiss pas chaud lir dorm bien,1.0
excellent rapport qualit prix pet déjeun excellent personnel accueil sympath liter excellent qualit lin pied hôpital radiateur brui éteindr,1.0
bien,1.0
fabul propret l'hôtel pas parking priv obliq station parking souterrain proxim l'hôtel 60euros jour bien dommag,1.0
exceptionnel accueil arriv pass qualit prestat sympath personnel bien pass agréabl séjour recommandon fort établ reviendron coup sûr,1.0
hôtel istri bien ouvr 24/24 chambr propr calm ru frigo thé offert tel qualit sdb bien chauff sdb manqu sèche-chev complet position proch mur gên plus gên grand fort corpulent pas cas porte-rouleau gên bref asseoir correct valabl bien entendu sdb chambr seul occup,1.0
rapport qualité-prix hôtel agréabl propret petit-déjeun bon qualit manqu isol phoniqu,1.0
parf charm vill décor propret l'amabl paking pai brui ru,1.0
retourn volonti prix situat pet déjeun rep personnel,1.0
parf l'emplac propret gentilless personnel rien,1.0
bien l'accueil l'emplacenent l'absenc climatis fort chaleur,1.0
bien situ pas cher beaucoup brui brui entend voisin l'ascenseur l'aspir tôt matin odeur tabac froid chambr,1.0
fabul l'emplac rapport qualite/prix lir pet,1.0
bien bon liter sall bain nickel leg odeur chambr,1.0
exceptionnel proxim centr cann chambr parking voi publiqu non sécuris,1.0
bien chois hôtel proxim gar l'est quarti n'est pas plus chouet pari chambr sanitair propr chambr calm l'arri bât lieux assez exigus cogn port lorsqu'on rentr sall bain étroit qu'on renvers toujour quelqu chos passag insonoris moyen entendr voisin éternu mouch pet déjeun assez décev plus baguet 8h30 hôtel parisien c'est moyen,1.0
parf nuit chambr supérieur chambr spacieux calm liter confort j'ai suiv conseil l'établ suit précédent critiqu excellent rapport qualité/prix booking sall bain rest étroit surtout grand gabar,1.0
exceptionnel équip servic dign étoil emplac exceptionnel calm,1.0
exceptionnel bien manqu nespresso chambr ros apéro moyen,1.0
agréabl localis correct centr vill chambr pet finit laissent désir,1.0
personnel accueil présent chambr spacieux confort dommag canap lir confort accueil personnel servic surtout pet déjeun buffet 👍🏾👍🏾👍🏾 bien sûr situat géograph canap lir confort,1.0
bien,1.0
satisfais pas pris leslit superpos tabl nuit pris,1.0
fabul beau hôtel propr conseil viv établ pass week-end agréabl personnel écout,1.0
bien,1.0
bien pet déjeun prépai final pas pris retard réveil bien cas qu'il propos toutefois client pet cas caf croiss exempl,1.0
bien,1.0
bien,1.0
sup rapport qualit prix hotel confort bien localis pet déjeun excellent personnel agréabl manqu parking oblig laiss voitur parking gar,1.0
accueil hôtess souri accueil quarti bien desserv metro bus plusieur magasin bas ru ouvert jusqu tard 22/23h ling lit chang trac sueur oreil grand dommag hôtel,1.0
bien lutter sup accueil sup deco calm pres métro bien peignoir tout chambr trouv pet déjeun cher pas pris coup,1.0
exceptionnel personel pet soin pet dejeun copieux liter confort séjour agréabl,1.0
agréabl emplac propret,1.0
exceptionnel,1.0
établ correspond parfait attent niveau confort correspond attent ains situat géograph not déjà venu établ repris personnel accueil,1.0
superb emplac accueil chambr pet moquet sol,1.0
bien propret quarti professional equip,1.0
agréabl rapport qualit prix propr liter correct proxim autr chambr brui douch voisin,1.0
2em séjour hôtel toujour réel plais retourn excellent accueil personnel rencontr confort chambr situat géograph pas ascenseur pénibl plusieur bagag,1.0
fabul,1.0
bien petit-déjeun buffet assez bien bien situ personnel aimabl accessibil baignoir amélior etat tapisser,1.0
hôtel taill humain mot servic efficac gentilless pas galvaud vrai bonheur pet hôtel personnel charm attent temp mouvement accueil pet déjeun aid voyageur vrai top,1.0
exceptionnel,1.0
agréabl lit confort proxim métro odeur cigaret rest chambr,1.0
bien qualit pet déjeun qualit soin spa réclam regl déjà effectu vi booking rappel l'hôtel récuper pai,1.0
séjour fourmid j'ai voyag moi ramadan j'ai pas pris petitdej propret servic rendu emploi agréabl recommand top moi j'ai trouv voul r-a-,1.0
exceptionnel accueil chaleur chambr charm spacieux spa piscin intérieur top rien mieux détendr personnel accueil sympath recommand établ séjour amour plus agréabl clin œil john hôt hôtel particuli bien occup dur séjour,1.0
bien décor chambr,1.0
l'ensembl plutot agréabl grand lit calm confort pris electr pas pris sall bain sech cheveux pet baignoir,1.0
fabul propret design variet produit pet déjeun form buffet volont sucr sal côt cocooning creation pet espac distinct sall principal possibil regl températur chambr thermostat individuel présenc mouchoir papi savon liquid shampoing form grand flacon pomp rapport qualit prix manqu rien sauf bouilloir rien tre import dit voic quelqu effort point suiv côt impersonnel l'accueil certain li dimens l'établ nombr élev client l'éloign relat rapport centr pari pas loin non plus grâc lign métro pied point négat principal manqu bouilloir chambr,1.0
paisibl,1.0
exceptionnel,1.0
gard excellent souven court passag établ accueil sympath professionnelj utilis parking l'hôtel accessibl ascenseur gar voitur vi monte-charg n'est pas gross chambr bien éclair sall d'eau bien équip agréabl j'ai trouv liter bien confort l'hôtel bien desserv transport commun métro tramway prendr petit-déjeun franc vast sall prix élev chaleur chambr excess,1.0
exceptionnel rav pet hôtel bruit vmc,1.0
vacanc cann hôtel idéal plac situ vrai fac gar pein min pied plag croiset cœur commerc genr personnel hyp accueil charm toujour prêt rendr servic bref hyp professionnel charm c'est terr derni étag vu méditerran mont estérel pren pet déjeun copieux tout beaut c'est dommag c'est hôtel sup agréabl détail lit grinc fort lor d'un pet mouv,1.0
exceptionnel accueil chambr petit-déjeun bien chang rien rest bien cordial brigitt jean- pierr ri en,1.0
nuit agréabl styl chambr confort c'et parf nuit rien particuli,1.0
central agréabl cour accueil décontract sympath pet déjeun suffis chambr propr fonctionnel emplac central,1.0
superb emplac top pas besoin utilis voitur proxim studio bien équip modern sup pass séjour amour point négat trouv parking aucun plac ru oblig gar parking souterrain,1.0
exceptionnel,1.0
exceptionnel,1.0
agréabl pet déjeun incroi beaucoup choix sup présent produit local bien mis personnel particuli écout toujour présent rendr servic amélior maximum séjour particuli concierger philipp colleg jardin pet déjeun fill accueil ains jean philipp souvien bien prénom restaur hôtel étag mathieu kid club paulin room servic équip jour servic client navil attention fin plag julien merc tout équip professionnal amour travail ressent grâc gardon bon souvenir séjour sall bain vrai étroit pas facil ger beb,1.0
fabul localis,1.0
bien chambr propr bien agenc liter correct ru inaccessibl traval coup brui matin,1.0
parf séjour parf beau log propr personnel symp jacuzz piscin bien refair,1.0
bien chambr commun traval tout ru dommag pas prévenu préalabl traval insonoris chambr pas bien,1.0
superb,1.0
bel hôtel recommand voyageur pass cann servic propos hauteur j'attend proxim gar plus beau chambr j'ai aim design sall bain petit-déjeun délici rien n'ai pas aim hauteur attent plus quoi m'attend peux dir l'hôtel extra,1.0
exceptionnel bien situ confort rien,1.0
bien,1.0
hôtel mérit rafraich chambr rapport qualit prix l'emplac prix rapport qualit prix chambr propr chambr côt l'ascenseur brui,1.0
"impecc emplac accueil arriv chambr propre-bon espace- excellent rapport qualit prix reviendr certain part pai 0,90 tax séjour normal sauf don euro réception dit désol pas 0,10 rendr pas demand dérang pas sait pas excus bref pas choix laiss 0,10 bien évident pas centim manqu professionnal",1.0
séjour plus qu'agréabl reviendron sûr confort l'hotel chambr confort luxueux situat métro fac l'hotel ains tram divers restaur qualit proxim immédiat parking souterrain difficil d'acces cout pet déjeun élev c'est formul buffet,1.0
fabul personnel charm écout toujour présent emplac parf pas ru antib autr croiset plag rien redir,1.0
hôtel parisien correct hôtel excentr quarti autour viv,1.0
agréabl personnel top gentil accueil disponibl pet déjeun mard frais situat liter affreux insonoris coupl étag dessus soupir droit bruit lit sall bain pet pet déjeun lund matin,1.0
bien,1.0
bien,1.0
bien,1.0
bien rapport qualit prix emplac parf chambr liber 12h servic bagager bruit ++++ matin personnel,1.0
bien l'accueil formid personnel serviabl l'écout client propret l'établ correctdan simpliqu hôtel séjourn recommandon l'hôtel,1.0
ideal pet sejour pet déjeun complet sal sucr lir confort tomb chambr sol coll toilet sentent pip,1.0
j'ai bien dorm pari bruit décor 7em étag pet déjeun l'accueil propret pet détail peignoir gel douch,1.0
exceptionnel,1.0
fabul l'hôtel parf dispos d'un parking appréci chambr lit spacieux agréabl lev matin pouvoir caf chambr personnel sympath l'écout seul bémol l'acces croiset souterrain assez mal fréquent plus abord gar pas vrai agréabl accost,1.0
bien plac personel amical bruit ru fenêtr rideau isol,1.0
bien pet déjeun ras l'emplac vrai pratiqu ras sall bain pet oblig mettr serviet temp plein d'eau débordent revoir part c'est import,1.0
agréabl localis charm hôtel personnel agréabl prix justif certain emplac hôtel équip assez vétust chambr sall bain pet quant propret colon fourm dessous lit rideau douch dégoût petit-déjeun minimal qualit produit discut,1.0
nickel lit arrêt pas tout seul,1.0
superb,1.0
bien,1.0
exceptionnel,1.0
bien proxim l'aéroport chambr propr personnel sympath sdb pet,1.0
bien,1.0
hôtel bien correct plein marseil prix situat géograph espac famill,1.0
excellent personnel accueil honnêt sympath plus pris chambr,1.0
exceptionnel,1.0
exceptionnel caf servic parf l'oeuf plat fais têt néanmoin,1.0
exceptionnel liter impecc sanitair douch propr ras,1.0
bien pet déjeun copieux consomm mini-bar pourr compris prix chambr,1.0
bien chaleur faudr absolu climatis,1.0
exceptionnel propret accueil attent pet déjeun personnel agréabl,1.0
exceptionnel j'ai bien aim vu 6em étag don port d'aix vu anim,1.0
ddétent découvert culinair propr personnel accueil souri beau cadr assez proch pet commerc côt pet bémol coussin étaien mou mar,1.0
exceptionnel malgr taill import l'établ personnel savoir chaleur décontract personnalis l'accueil servic,1.0
tre hôtel accueil personnel propret hôtel confort chambr liter chambr pet pet classiqu pari,1.0
bien,1.0
beau séjour lit tre grand moelleux matel qualit propret impecc bien équip express minut proxim gar croiset manqu doubl vitrag entendr rout,1.0
bien chambr confort sup bien parking pas d'acces piéton rentr l'hôtel parking pas couvert,1.0
bien merc mehd qu'il fall chang chambr millieu nuit caus l'odeur tabac premier chambr,1.0
agréabl femm ménag beaucoup brui couloir matin,0.0
exceptionnel proxim parc exposit endroit simpl bien agenc ref goût sall bain pet,1.0
recommand hôtel cadr d'un format secteur localis hôtel idéal beau décor pet déjeun copieux personnel agréabl,1.0
fabul,1.0
impecc accueil chaleur deco agréabl zon pet déjeun fonctionnel coin verdur appréci mont escali,1.0
exceptionnel chambr pet agréabl liter top personnel gentil pas compr system pet déjeun rep celà demand pet expliqu arrivon,1.0
magnif hotel proxim proch pal festival chambr spacieux sall bain personnel,1.0
excellent emplac pari expo situat acces parking accueil hôtel vieillot moquet défraîch chambr pet,1.0
bien spa pet déjeun accueil produit nécessair douch pas pris compt remarqu concern bruit tardif minuit ven chambr côt frigo sal,1.0
recommand viv personnel sympath accueil,1.0
séjour agréabl accueil excellent situat l'hôtel pet déjeun simpl remplac gel douch plus réguli gel jour c'est mont march plusieur journ jeun plus âgé,1.0
superb pratiqu bien plac pres métro pas grev accueil sympath,1.0
agréabl hotel proch gar rapport qualité/prix intéress chambr refait neuf lit confort sall bain pet fonctionnel personnel sourir disponibl malgr traval hall d'accueil certain contraign,1.0
agréabl quarti bon option séjour marseil emplac acces metro boulanger supermarch bas coin lit superpos appart,1.0
bien ccueil emplac pet déjeun manqu variet,1.0
exceptionnel,1.0
bien,1.0
exceptionnel lit confort sall bain propr,1.0
rapport qualit prix centr pari emplac rapport qualit prix derni minut bon liter calm côt ru récept malgr arriv tardif rien,1.0
fabul vrai pas restaur self-servic pet déjeun,1.0
séjour bien personnel accueil pet dejeun etait faut amelior din plus choix rep din,1.0
superb,1.0
exceptionnel confort taill lit chambr bouilloir chauffag bloqu certain températur froid pas couvertur supplémentair,1.0
fabul,1.0
agréabl appart pu renferm tel chaîn march dessus beug,1.0
rapport qualit prix paris bien merc équip qualit accueil sympath professionnal,1.0
bien,1.0
bien bouilloir chamvr propret décor vieillot moquet,1.0
exceptionnel,1.0
sup séjour excellent pet déjeun divin croiss chambr spacieux propr calm room servic ultra rapideséjour parf personnel petit soin,1.0
bien proxim centr cann climatis fonction merveil arriv hôtel premi jour attendr minut présenc récept pend séjour femm chambr jam venu chang drap chambr chang ling bain jam vi trouv dommag demand récept obten coussin supplémentair jam,1.0
fabul personnel top pet déjeun spa égal bien revoir températur jacuzz pas chauffag sall bain,1.0
exceptionnel,1.0
bien grand gentilless serviabl personnel écout client,1.0
fabul accueil bon situat chambr agréabl propr excellent liter,1.0
bien plus sall bain bruit douch cour ferme,1.0
exceptionnel chambr magnif pet déjeun excellent,1.0
hôtel agréabl bien situ pari propret liter bon qualit chambr confort personnel chaleur situat pratiqu,1.0
fabul,1.0
fabul hotel dign d'un etoil,1.0
exceptionnel sup hôtel personnel sympath,1.0
local beau propr servic impecc beau déco propret irréproch lit moelleux goût,1.0
séjour grâc bon situat géograph établ l'emplac l'hôtel bien calm hôtel absolu rénov effet affich correspond pas relook chambr pass hall l'entr hôtel utilis group ressent servic présent servic personnel n'est pas adequ,1.0
bien hôtel bien situ prix abord,1.0
bien,1.0
parf visit établ quelqu anné toujour rav l'accueil personnel récept oreil dur,1.0
agréabl prix proch pied recommand pet déjeun pas inclu week-end revoir annonc dis petit-déjeun inclus,0.0
exceptionnel,1.0
séjour faut absolu oubli parking souterrain l'hôtel l'emplac l'hôtel chambr grand terr parking difficil d'acces,1.0
hôtel impecc établ bien accueil toujour rien redir propriet chambr tranquill accueil personnel prix veulent visit cann hôtel plein centr pas gar ru principal croiset recommand vrai,1.0
exceptionnel bel hôtel bien situ beau chambr,1.0
exceptionnel possibil parking handicap,1.0
agréabl personnel l'écout client sympath clanch sall bain couin,1.0
excellent lit moelleux part commun beau restaur fouquet bien sall bain pas hauteur l'établ baignoir vieillott,1.0
reviendr proxim gar lyon propr éclairag industriel surtout sall bain,1.0
bien,1.0
exceptionnel professionnal personnel propret hôtel,1.0
réalis prévu louvr ivalid bateau mouch demand d'un piec d'ident photocopi pet déjeun cher,1.0
bien pet dejeun tre bien emplac j'ai pas apprec descript hôtel précis héberg vu vill j'ai demand recept chambr vu vill rit nez pas chambr vu vill cour boulevard c'est pas honnêt,1.0
agréabl pas eau chaud derni nuit,1.0
séjour l'emplac idéal hôtel personnel aimabl préven tranquil pas rideau douch baignoir ascenseur étriqu,1.0
exceptionnel,1.0
superb décor cafeti bonjour femm d'acceuil dragu mar clin d'oeil sinon appréci séjour,1.0
hôtel cel séjour pari réussit situat hôtel agréabl weekend tant tourist proxim métro 100m rend transport beaucoup plus confort chambr chouet conten nécessair pouvoir pass weekend souc,1.0
exceptionnel chambr c'et nickel etait cot l'hôtel reviendr personnel accueil l'écout chambr propr grand,1.0
superb agréabl surpris aucun nuisanc sonor propr,1.0
buen ubicación buen ubicación buen relación calidad precio,1.0
exceptionnel,1.0
bien,1.0
exceptionnel,1.0
fabul accueil chaleur,1.0
bien petit-déjeun top personnel serviabl sympath chauffag fonction pas correct chambr fais pas vrai chaud pas crem corp étoil pas tout qualit pourr attendr concept hôtel temp,1.0
exceptionnel pet déjeun cher variet nourritur propos,1.0
pet hotel symp manqu soin prix raison pet déjeun gentilless l'accueil situat pres plac républ sal bain pet cloison dépli manqu d'entretien install déco tapageur cheap ru d'aix traval engag natur,1.0
bien bien plac parking gratuit seul serviet douch chambr,1.0
bien,1.0
emplac idéal parf pas lign automatis métro guer plus gar lyon propr confort personnel récept bien,1.0
surpris hôtel aim reven toujour beaucoup servic qualit personnel préven attent bar moyen terr charm restaur agréabl l'ambianc extérieur ten certain client limit hall commun,1.0
séjour malgr quelqu alé accueil proxim sit tourist chambr étroit adult climatiseur brui,1.0
exceptionnel emplac servic nettoyag brui matin,1.0
parf confort accueil emplac propret vrai rien redir conseil,1.0
bien,1.0
bien,1.0
bien tranquill pas savon toilet,1.0
bien,1.0
bien,1.0
bien trouv pet déjeun cher vis vis caf n'ai tour parking,1.0
excellent rapport qualit /prix situat idéal hôtel idéal situ fac gar terr couvert découvert serv pet déjeun don superb vu cann méditerran loin part extérieur terr accessibl tabl chais tout journ pet déjeun correct plat chaud prix raison rapport qualit /prix périod dir semain apres mipim excellent liter excellent wif fonction bien chambr ling chang jour chambr pet seul chais conséquent espac rang quas inexist,1.0
agréabl,0.0
superb pres parc exposit ras,1.0
agréabl situat géograph parf aller croiset hotel calm retourn pet effort propret,1.0
plutôt cool personnel ménag taill chambr pet agenc sall eau pas commod,1.0
exceptionnel,1.0
exceptionnel accueil chaleur christoph propriétair soucieux confort réserv restaur suit bon suggest chambr propr lir confort déjeun copieux excellent hôtel bien situ proxim station sécuritair appréci rapport qualité-prix excellent hôtel boutiqu cozy confort rien goût,1.0
exceptionnel,1.0
bien,1.0
exceptionnel,1.0
abus rapport prix qualit établ traval affect chambr rdc contr fenêtr repos contr plaqu fer jam,1.0
exceptionnel,1.0
fabul propret irréproch hôtel calm quarti populair vient cherch marseil proch gar charl pratiqu,1.0
séjour pas assez pater accroch vêt sall bain manqu support mettr vêt chambr attent tiroir sall bain l'eau coul siphon lavabo,1.0
bien accueil chaleur pet déjeun,1.0
séjour propret liter amabl rien,1.0
hotel correct met bémol caus sall bain pet déjeun chambr confort pas sall bain individuel douch lavabo direct dan chambr n'ai pas appréci,1.0
exceptionnel,1.0
satisf nuit calm condit correct d'héberg pet -déjeun copieux frai viennoiser serv form buffet limit quantit personnel attention vrai agréabl l'insonoris toilet /douch contigü chambr d'un pali loin d'êtr bon bien particip convers =pour pas dir plus voisin ferm bien port devient accept,1.0
bien malheur activ professionnel m'ont pas perm d'en profit plus n'ai rien dir personnel prestat bien concern l'emplac rapport différent lieux réunion professionnel c'et bien n'ai pas appréci fonction l'ascenseur rendr étag j'ai voyag pend dizain minut étag,1.0
exceptionnel personnel chambr etc pas assez plac spa,1.0
exceptionnel confort,1.0
exceptionnel,1.0
tre bien confort assur connu d'un hotel ibis chambr pet,1.0
exceptionnel,1.0
bien buffet chaud excellent chambr confort cde tel mettr côt tel,1.0
fabul,1.0
exceptionnel appel tax réception indiqu qu'il l'hôtel j'ai rappel tax afin qu'il revien,1.0
superb,1.0
propr approch transport commun métro national bus propret situat géograph personnel pas climatis,1.0
agréabl,1.0
agréabl,1.0
bien emplac accueil courtois manqu fenetr,1.0
rapport qualit prix correct booking pari nuit coupl l'emplac mn pied gar lyon chambr pet sall d'eau accessoir réserv coupl 3-4 étoil pression l'eau douch faibl pet déjeun leg caf infect sauc peau dur manqu pas grand chos bien caf pet déjeun,1.0
fabul,1.0
bien situ metr d'un bouch métro personnel symp,1.0
cann majestic oblig servic hauteur attendu tel établ grand tradit franc palac,1.0
exceptionnel,1.0
agréabl l'hôtel plein charm personnel disponibl l'écout bon conseil liter agréabl pet déjeun copieux diversifi l'emplac idéal balad pied tarif préférentiel niveau parking,1.0
superb,1.0
bien beau décor chambr original rend personnel accueil revoir aucun inform indiqu chambr pas expliqu caution 100€ sen relat client,1.0
agréabl rien special liter moyen caf distributeur inbuv propret chambr correct pas plus peuvent mieux quoi parking pas précis pas assez clair c'est pai,1.0
exceptionnel personnel accueil l'écout souri établ calm apais propr confort c'et parf reviendr,1.0
hôtel sup quarti bien situ chambr confort rang disponibl liter confort personnel symp ascenseur vrai pet chaleur étouff chambr radiateur fond sech cheveux mural limit brui manqu pris sall bain,1.0
bien ibis disponibil personnel manqu d'un frigo fais chaud pas boisson fraich climatis fonction pas mal,1.0
agréabl étoil leg,1.0
fabul,1.0
bien personnel top odeur chambr,1.0
bien,1.0
correct taill ascenseur,1.0
correct l'emplac fais chaud c'est brui entre différent chambr j'entend tel voisin parl chambr côt,1.0
superb nespresso pas bouilloir dommag sinon ras l'accueil gentilless personnel situat parfait,1.0
hôtel excellent rapport qualit prix charm hôtel ru calm non pass proch boulevard péreir plus anim hôtel charm vieillot agréabl propr tarif intéress,1.0
superb,1.0
retourn problem personnel agréabl chambr cert pet jol propr liter confort pet frigo chambr plus pet déjeun continental,1.0
prestat bon qualit pet déjeun particuli vari bon qualit ras,1.0
point chut cann dorénav l'emplac l'hôtel parf ains personnel aimabl accueil douch n'et pas proteg genr douch l'italien pas pratiqu sall bain retrouv vit inond matel dur goût mar appréci fermet celui-c,1.0
agréabl bon situat chambr familial pas chambr non communic reli couloir couloir ferm pas simpl port batt isol pali commun non sécuris chambr vrai pet liter moyen,1.0
séjour agréabl nuit repos liter excéllent sall bain propr pet déjeun terr agréabl,1.0
séjour rapport qualit prix pet déjeun copieux personnel agréabl parking public hôtel forfair 24h 10€ rien,1.0
exceptionnel,1.0
tre hotel confort bien situ grand lit tre confort chambr tre calm personnel souri,1.0
bien,1.0
bien accueil sympath mai boisson chaud chambr l'escali hard,1.0
excellent rien dir plus rav séjour hôtel bien situ parking plac plus,1.0
bien l'ensembl décor chambr sall pet déjeun l'accueil récept souhait chambr l'étag j'ai chambr bas pres récept,1.0
agréabl personnel accueil pet déjeun complet terr agréabl lit confort insonoris excellent rapport qualit prix réserv semain rien,1.0
bien situat géograph ras,1.0
bien bon liter oreil tel impecc,1.0
bien localis chambr correct chambr situ l'entr coup beaucoup bruit passag,1.0
agréabl,1.0
exceptionnel l'emplac séjour,1.0
prix élev dommag pas climatis hôtel,1.0
séjour conform attent confort matel douch contrôl équip chambr connect pas pris rep personnel bar symp bier pas cher convivial lieu propr marqu citizen complet insonoris chambr connect tomb pann milieu nuit plus lumi plus chauffag répar lendemain lavabo bouch débouch demand point négat pas rang,1.0
bien l'accueil chambr confort prix certain bien réduit réserv derni minut confin franc coronavirus rien,1.0
agréabl séjour recommand liter excellent qualit pet déjeun copieux diversifi personnel agréabl souri flexibl douch défectu signal non répar dur trois jour séjour,1.0
exceptionnel,1.0
agréabl aucun connexion wif pas d'internet retourn pas,1.0
bien dommag climatis fonction pas,1.0
hôtel design rivi pet déjeun haut qualit chambr vu sublim,1.0
bien accueil machin caf dégoût sal falloir nettoi jour ver 10h30 minut apres fin pet déjeun établ accept pas chequ vacanc dommag,1.0
bien merc accueil personnel top bordelais,1.0
bel emplac appart confort,1.0
bien tre,1.0
moment calm pet déjeun ains liter march obligatoir arriv l'accueil,1.0
exceptionnel sup séjour hôtel sup agréabl reviendr grand plais,1.0
sejour tre bien situ rapport qualit /prix tre bien plac proch pied vieux port bien équip bon liter bien insonoris parking pai propos euro jour acces compliqu final tre pratiqu l'habitud présenc d'un kitchenet tre bien équip lav vaissel gach qu'il pas tabl mang piec pet bureau tre etroit tre bien dorm compt prendr rep chambr plutot compliqu pas plac prendr rep chambr period covid recept eternu mouch dev client protect particulier,1.0
bien jol déco désign lir confort climatis silenci lumi couloir pass port nuit quelqu'un rentr climatis envoi l'air glac direct lit pas ver plafond couet fais chaud,1.0
agréabl pet déjeun cher ambianc trist personnel aimabl,1.0
bien bien satisf puisqu j'en troisiem séjour bien situ proch occup réunion ème arrond,1.0
bien chambr propr pet déjeun correct personnel agréabl prix revoir rapport quarti euros plus tax séjour élev,1.0
