nom,pays,favorite,titre,bons_points,mauvais_points,note,type_etablissement,lieu,note_etablissement
Cherazade,Francia,0,Saoussen a l’accueil de l’hôtel une personne exceptionnelle,L’emplacement et le personnel,Rien,"9,0",Hotel,París," 8,4 "
Maryame,Francia,0,"Hotel agréable proche de toutes les places principale et personnel à l’écoute...calme, petit déjeuner complet et bien éq",La proximité,Ras,"8,0",Hotel,París," 8,4 "
Catherine,Francia,0,Muy bien,"Hôtel confortable, très bien situé,
Personnel très aimable.","Très bruyant. 
Chambre située au dessus d’un Monoprix, avec livraison tôt le matin","8,3",Hotel,París," 8,4 "
Jean-marc,Francia,0,Je reviendrai,L'équipe,Ras,"9,0",Hotel,París," 8,4 "
Mickaël,Reunión,0,Fantástico,"Acceuil très chaleureux un dimanche 20h
En pleine crise coranavirus..
Un surclassement offert dans Une chambre parfaite avec vue sur la Tour Eiffel !!
situation idéal",None,"9,0",Hotel,París," 8,4 "
Damien,Francia,0,Très agréable et dépaysant,Literie confortable propreté très calme petit déjeuner copieux proximité tour Eiffel et champs Élysées,None,"8,0",Hotel,París," 8,4 "
Christophe,Francia,0,"Très bon séjour dans l'ensemble, satisfait, recommande cet hôtel","L'emplacement de l’hôtel, l’accueil du personnel","Le manque de parking privatif
L'odeur du petit déjeuné dans la chambre le matin vers 7h, trop fort, ça écœure plus que ça ne met en appétit","7,0",Hotel,París," 8,4 "
Guyvdm,Bélgica,0,Hotel de comfort non loin de la Seine et de la Tour Eiffel dans une rue calme.,Chambre donnant sur une cour-jardin amémagé et de ce fait ultra-calme,Rien- chambre correspondait à mon attente,"8,0",Hotel,París," 8,4 "
Jimmy,Francia,0,Muy bien,Hotel très bien situé,None,"8,0",Hotel,París," 8,4 "
Dominique,Francia,0,Muy bien,"Une chambre agréable, sur-classé et un accueil charmant","Le petit déjeuner où nous sommes serrés, salle en couloir et où le choix est relativement restreint","8,0",Hotel,París," 8,4 "
Denis,Francia,0,Muy bien,Pas pris de petit déjeuner,rien de particuler,"8,0",Hotel,París," 8,4 "
Djamel,Francia,0,Fantástico,"Accueil sympa, chambre propre avec vue sur la tour Eiffel, petit-déjeuner copieux et enfin l'hôtel est très bien situé, à quelques minutes des Champs-Élysées.",None,"9,0",Hotel,París," 8,4 "
Céline,Francia,0,Muy bien,Propre et bien placé,None,"8,0",Hotel,París," 8,4 "
Franck,Francia,0,Muy bien,L'accueil très agréable et l'emplacement,None,"8,0",Hotel,París," 8,4 "
Olivier,Nueva Caledonia,0,Fantástico,Le petit déjeuner était chouette et la vue sur la tour eiffel au pied de l’hôtel.,Lit à ressort. Moyen pour dormir,"9,2",Hotel,París," 8,4 "
Evelyne,Francia,0,Fantástico,"Tres bon emplacement 
Personnel très aimable 
Chambre de taille correcte",None,"9,0",Hotel,París," 8,4 "
Thierry,Francia,0,Bien mais sans plus,None,Hôtel quelque peu vétuste,"7,0",Hotel,París," 8,4 "
Laugel,Francia,0,Fabuloso,"L’emplacement de l’hôtel était juste au top, avec une vue sur la Tour Eiffel directe à la sortie. Les équipements et la chambre sont plus que correctes et nous avons été vraiment bien accueillis à la réception! Je recommande!",None,"8,8",Hotel,París," 8,4 "
Jeremie,Bélgica,0,bien situé,le style de l'hôtel et la propreté de l'hotel,"salle de bain bcp trop petite
et confort du matelas moyen","8,0",Hotel,París," 8,4 "
Cédric,Francia,0,Très bon séjour dans votre hôtel !,"La situation géographique. Le calme. La literie. 
La décoration. Les petites attentions (thé, café, biscuits...)",Le prix (un peu trop élevé),"9,0",Hotel,París," 8,4 "
Mathilde,Francia,0,Super!!!,Vue sur la Tour Eiffel de notre chambre. Chambre impeccable et spacieuse. Bon petit-déjeuner.,None,"9,0",Hotel,París," 8,4 "
Etienne,Francia,0,Excepcional,L’emplacement,Seul regret le dispositif d’actionnement de la pomme de douche était endommagé CH218,"9,6",Hotel,París," 8,4 "
Melanie,Suiza,0,Parfait,"L accueil était excellent ! Personnel très agréable nous avons été surclassé c était super sympa ! 
Établissement à conseillé",Rien,"9,6",Hotel,París," 8,4 "
Corinne,España,0,Bien,None,"de monter 4 étages en ascenseur, puis de devoir redescendre des escaliers, suivre un couloir avant d'arriver à ma chambre, un peu labyrinthe","7,0",Hotel,París," 8,4 "
Claude,Francia,0,correspondait à mes standard en matière d'hôtel.,"hôtel confortable ; un peu vieillot, mais classe.
Accueil parfait.
Salons confortables, place appréciable.",Je n'ai pas pu régler le chauffage.,"8,0",Hotel,París," 8,4 "
Emre,Francia,0,Fabuloso,"Propre, rien à dire.",None,"8,8",Hotel,París," 8,4 "
Liliane,Francia,0,super séjour pour redécouvrir PARIS,la proximité des lieux touristiques,None,"9,0",Hotel,París," 8,4 "
Christophe,Francia,0,Fantástico,"Surclassement gratuit dans une grande chambre, personnel très compétent.","Accès un peu compliqué à ma chambre du 3ème étage. Il faut monter au 4ème, puis redescendre à pied au 3ème...","9,2",Hotel,París," 8,4 "
Carole,Polinesia Francesa,0,J’y retournerai,Tout était très bien,Les escaliers et couloirs très étroits,"9,0",Hotel,París," 8,4 "
Marcel,Francia,1,Fabuloso,"parfait pour mon déplacement sur Paris avec un accueil très sympathique et un personnel à l'écoute.
Très calme et à deux pas de mon lieu de RDV, rien à dire","La literie car deux petit lits, ne valent pas le confort d'un grand même quand on est seul mais j'ai bien dormi quand même ;-)","8,8",Hotel,París," 8,4 "
Pierre,Francia,0,Bien,Personnel compétent et très aimable. Situation exceptionnelle dans Paris à 2 pas des champs Élysées et de la tour Eiffel,Hôtel un peu vieillot. Chambre pas très grande sous les combles.,"7,9",Hotel,París," 8,4 "
Emilie,Bélgica,0,Fabuloso,"L'hôtel était vraiment bien situé. Il était propre et le personnel était vraiment accueillant et à l'écoute. Le petit-déjeuner était copieux mais si on aime le salé, il n'était peut-être pas assez varié. La chambre était très confortable.","L'hôtel vante les chambres avec vue sur la Tour Eiffel. En ayant réservé une chambre sur booking avec une réduction de presque 50%, la chambre qui nous a été attribuée était sous les toits avec vue sur la cour intérieure et les toitures. C'est de bonne guerre mais c'était dommage.","8,8",Hotel,París," 8,4 "
Rene,Francia,1,Excepcional,Personnel tres sympa,None,"9,6",Hotel,París," 8,4 "
Daisy,Bélgica,0,Muy bien,None,trop chaud mais je suis allergique a la clim dans la chambre je suis revenue avec un debut de tracheite nous n avons pas trouve le moyen d ouvrir la fenetre a part cela hotel tres sympathique...personnel tres poli et souriant... tres bon emplacement...dejeuner impeccable tres bon sejour,"8,3",Hotel,París," 8,4 "
Olivier,Francia,0,Excepcional,L’accueil,Rien,"9,6",Hotel,París," 8,4 "
Chantal,Francia,0,Muy bien,L hotel est très bien situé. L'endroit est calme.,None,"8,3",Hotel,París," 8,4 "
Philippe_m,Francia,0,Excellent à recommander pour le prix et la localisation,L'emplacement est top. Le personnel parfait.,La taille de la douche et de la salle du petit déjeuner.,"8,8",Hotel,París," 8,4 "
Martine,Francia,0,Correct,Établissement correct,Le règlement du séjour a l arrivée,"9,2",Hotel,París," 8,4 "
Pinault,Francia,0,Bonne adresse bien située,Le petit déjeuner copieux servi en chambre par une femme très souriante,Coupure électrique le matin et donc pas d’ascenseur,"9,2",Hotel,París," 8,4 "
Aurelia,Francia,0,Bien,"très bien placé .
l'accueil.","le bruit .
le petit déjeuner moyen ex : crêpes trop sèches et cassantes , la salade de fruit qui baignent dans le jus manque des fruits.
salle petit déjeuner: Trop de tables par rapport à la taille de la pièce et on dérange nos voisins de tables dés qu'on se lève .
le bruit la nuit ( côté rue) .","7,1",Hotel,París," 8,4 "
Berrahou,Francia,0,"Très bien, tout près de la Tour Eiffel et champs élisée","L’hotel Est bien, situation géographique génial","Petit déjeuner pas terrible, pas de choix pour un 3 étoiles.","7,9",Hotel,París," 8,4 "
Tuhiti,Polinesia Francesa,0,Excepcional,"Comme nos derniers séjours à l hôtel nous avons pleinement satisfait de l accueil et des prestations.
Très bon rapport qualité prix.
Emplacement idéal.",RAS,"9,6",Hotel,París," 8,4 "
Valerie,Francia,0,Fantástico,La localisation,Toilettes trop petit,"9,2",Hotel,París," 8,4 "
Gilles,Francia,0,Bien,"Calme , pas de bruits , patio extérieur, bon emplacement , douche large avec pression suffisante et facile à régler ( plutôt rare dans les hôtels de cette gamme de prix )",Trop de chauffage dans la chambre,"7,9",Hotel,París," 8,4 "
Jacques,Francia,0,Beau sejour,Accueil sympathique et vue agréable de la chambre,Rien,"8,3",Hotel,París," 8,4 "
Benie,Bélgica,0,Fabuloso,"L'emplacement de l'hôtel est vraiment top , ainsi que le personnel très accueillant!",None,"8,8",Hotel,París," 8,4 "
Tuhiti,Polinesia Francesa,0,Excellent,"Suzanne a été à notre écoute et nous a réservé une surprise qui nous a fortement fait plaisir : reclasser en chambre. 
Petit déjeuner à la Parisienne excellent rapport qualité/prix
Emplacement idéal sur Paris.",RAS,"9,2",Hotel,París," 8,4 "
Blandine,Francia,0,Bien,"Excellent emplacement si vous devez résider dans le 16ème. Prix abordable vu le quartier. Hôtel propre mais qui commence à manquer de charme, à conseiller plutôt pour un séjour professionnel car quartier un peu triste le soir et plus de restaurants de luxe que de restaurants « sympa ».","Prix abusif du petit -déjeuner (16,5 euros), avec très peu de choix: en l’absence d’amélioration de la part de l’hôtel, autant aller petit -déjeuner dans un café des alentours","7,1",Hotel,París," 8,4 "
Aude,Francia,0,Bien,l'emplacement est parfait à côté de l'arc de triomphe et pas loin de la tour Eiffel d'ailleurs on la voit depuis le balcon… le rêve,"la literie était horrible j'ai quasi pas dormi et ce n'est pas du tout insonorisé contrairement à ce qui est dit. J'ai entendu les personnes qui étaient au dessus de moi: parler, chanter, marcher,...","7,9",Hotel,París," 8,4 "
Tuhiti,Polinesia Francesa,0,Hôtel agréable et idéalement placé sur Paris 16ième avec une vue saisissante sur la Tour Eiffel,"L'emplacement de l'hôtel est idéalement placé dans l'un des plus beaux arrondissements de Paris, à 2 pas des Champs Elysée et de la Tour Eiffel, des métros et autres commodités comme la laverie, pharmacie, restaurants divers et supérettes. 
La convivialité des divers concierges toujours prêt à rendre service, vous indiquer les bons plans et à votre écoute ont été exemplaires. 
Le petit déjeuné est excellent.","Notre chambre ne correspondait pas aux photos indiqués lors de notre réservation sur booking et était vraiment trop petite ainsi que la literie pour notre famille avec un berceau qui prenait tout l'espace de circulation, la chambre faisait environ 9 M2, pas de baignoire comme indiqué mais une douche de 1.5 M2.
Nous n'avons pas osé nous en plaindre, cependant nous avons fais la remarque pour nos prochaines réservations à venir. 
Nous avons noté une ambiance entre le personnel de l'hôtel quelque peu antipathique avec altercations devant les touristes.","7,1",Hotel,París," 8,4 "
Alain,Bélgica,0,Hotel confortable très bien situé,Hôtel très bien situé au calme. Chambre simple mais disposant de tout le confort nécessaire. Lit confortable. Petit déjeuner correct. Café et thé disponibles dans la chambre.,"Tablette de travail un peu petite pour déposer un ordinateur.
Lorsqu'on arrive à 10 heures du soir après avoir roulé 300 km, c'est un peu dommage de devoir attendre 15 min pour avoir sa clé (le réceptionniste a rempli beaucoup de papiers sans donner d'explications). Je sais que c'est un peu capricieux comme commentaire mais bon ...","7,5",Hotel,París," 8,4 "
Ludovi,Francia,0,Super séjour dans un bon hotel avec un personnel aimable,Très bon accueil. Merci beaucoup a cette personne qui nous accueille. Personnel aimable bien renseigner.idem pour le petit dej Très copieux pour le prix. Localisation à 500m de l arc de triomphe et idem pour la tour Eiffel et metro,Trop chaud dans la chambre,"9,2",Hotel,París," 8,4 "
Pierre,Francia,0,bien sans plus,le petit dejeuner est très bien la situation géographique très bien le personnel à l'accueil souriant,la chambre trop petite le lit trop petit et la literie pas très confortable la salle de bain pas top,"7,1",Hotel,París," 8,4 "
Robert,Francia,0,Excepcional,"Je connaissais cet hôtel, il me semble qu’il a été remis à neuf et c’est très bien.","Chambre un peu petite, mais habituelle pour un 3 étoiles à Paris
Un peu trop chaud dans le chambre malgré la fenêtre ouverte.","9,6",Hotel,París," 8,4 "
Jean,Reunión,0,Tres bon sejour’’,"L emplacement est super
J ai aime la possibilte de louer un appartement pour une famille de 6",None,"8,8",Hotel,París," 8,4 "
Xxx,Francia,0,Bien,Le petit déjeuner,"Accès impossible à la robinetterie de la baignoire pour se faire couler un bain (il faut déjà être dans la baignoire pour cela, donc pas possible de le préparer). On sent trop les ressorts des matelas.","7,9",Hotel,París," 8,4 "
Valerie,Guadalupe,0,"Ma soeur et moi sommes ravie de notre passage, nous reviendrons avec plaisir à notre prochain séjour","Hôtel très bien passé, propre et un super accueille",Chambre un peu petite surtout la salle de bain pour 2 personnes,"9,6",Hotel,París," 8,4 "
Guy,Francia,0,Fabuloso,"Le lit, le calme,","Il manque les oeufs, le Bacon et les saucices au petit déjeuner 
La télé est mal placée dans la chambre 110, ou non orientable (pas facile à regarder du lit","8,8",Hotel,París," 8,4 "
Odile,Francia,0,Bel hôtel dans une rue calme.,Hôtel impeccable. Chambre calme et de bonne taille. Baignoire. Petit bar frigo.,None,"9,2",Hotel,París," 8,4 "
